Scenario,Monthly Payment,Total Interest,Months to Payoff,Interest Savings vs Baseline
Extra $0/mo,2509.2411472626504,503326.81301554275,360,0.0
Extra $100/mo,2609.2411472626504,440639.8068170569,323,62687.00619848585
Extra $200/mo,2709.2411472626504,393474.7604017837,293,109852.05261375906
Extra $300/mo,2809.2411472626504,356367.1195281376,270,146959.69348740514
Extra $400/mo,2909.2411472626504,326232.9744251384,250,177093.83859040437
Extra $500/mo,3009.2411472626504,301172.8604953331,234,202153.95252020966
Pay 29 days early,2509.2411472626504,489402.5294312426,355,13924.283584300138
