age_group,Food and beverages,Housing,Apparel,Transportation,Medical care,Recreation,Education and communication,Other goods and services
All consumer units,13.76711,31.419112,2.547909,16.958044,7.890749,4.754568,4.023684,18.638823
Under 25 years,16.067085,33.85149,3.259099,19.548252,3.140664,4.075461,7.400123,12.657826
25-34 years,13.736153,33.584424,2.980866,17.189661,5.135952,4.453844,3.740853,19.178248
35-44 years,14.454833,31.389142,2.903682,17.078999,6.520953,4.679433,3.483541,19.489417
45-54 years,13.56564,28.60845,2.538698,17.127991,6.726006,4.969749,5.208967,21.254498
55-64 years,12.797542,29.744779,2.392108,17.758341,7.900313,4.484025,4.247404,20.675488
65 years and older,13.790858,33.868342,1.950124,15.52611,12.695338,5.119482,2.956114,14.093632
65-74 years,13.913456,31.883282,2.106987,17.464884,11.804939,4.956085,3.020473,14.849894
75 years and older,13.593868,37.187019,1.687144,12.277465,14.181323,5.394562,2.847727,12.830892
