Date,Mortgage,HE Revolving,Auto Loan,Credit Card,Student Loan,Other,Total,quarter,GDP_trillions,Mortgage_pct_gdp,HE Revolving_pct_gdp,Auto Loan_pct_gdp,Credit Card_pct_gdp,Student Loan_pct_gdp,Other_pct_gdp,Total_pct_gdp,date
03:Q1,4.942,0.242,0.641,0.688,0.2407,0.4776,7.2313,2003Q1,11.174129,44.227160792577216,2.1657168983819677,5.736465007697691,6.157079446639644,2.154082881985701,4.274158639120777,64.71466366640298,2003-01-01
03:Q2,5.08,0.26,0.622,0.693,0.2429,0.486,7.3839,2003Q2,11.312766,44.90502145982689,2.2982884999124,5.498213257482742,6.125822809381896,2.147131833187392,4.296031580605486,65.27050944039681,2003-04-01
03:Q3,5.183,0.269,0.684,0.693,0.2488,0.4773,7.5551,2003Q3,11.566669,44.80978923145462,2.325647945834709,5.913543475654055,5.991353258228449,2.1510082116121763,4.1265121358621055,65.31785425864612,2003-07-01
03:Q4,5.66,0.302,0.704,0.698,0.2529,0.4486,8.0655,2003Q4,11.772234000000001,48.079234578585506,2.5653584527796505,5.9801733468770655,5.929205960398,2.148275340092628,3.810661595751494,68.51290927448434,2003-10-01
04:Q1,5.84,0.328,0.72,0.695,0.2598,0.4465,8.2893,2004Q1,11.923447,48.979124912451915,2.750882358096615,6.038522249480373,5.828851338040082,2.178900111687501,3.744722478323592,69.52100344808008,2004-01-01
04:Q2,5.967,0.367,0.743,0.697,0.2629,0.4231,8.46,2004Q2,12.112815000000001,49.261876780913425,3.029848965744131,6.133999404762641,5.754236319138036,2.170428591537145,3.4929948158210946,69.84338487791649,2004-04-01
04:Q3,6.21,0.426,0.751,0.706,0.33,0.41,8.833,2004Q3,12.305307,50.4660306321492,3.4619209419155488,6.103057810747833,5.7373619366018245,2.681769743737397,3.3318957422191904,71.782036807371,2004-07-01
04:Q4,6.36,0.468,0.728,0.717,0.3457,0.4229,9.0416,2004Q4,12.527214,50.76946877414244,3.7358665701727456,5.811347998046492,5.72353916840568,2.7595920369844404,3.3758503686454144,72.17566491639721,2004-10-01
05:Q1,6.512,0.502,0.725,0.71,0.3636,0.3941,9.2067,2005Q1,12.767286,51.0053585390035,3.931924137988293,5.678575697293849,5.56108792424639,2.8479036186704048,3.086795423866905,72.11164534106935,2005-01-01
05:Q2,6.696,0.528,0.774,0.717,0.3744,0.4024,9.4918,2005Q2,12.922656000000002,51.81597343456329,4.085847367599973,5.989480800231779,5.548395004865872,2.8972372242981623,3.1139109483375544,73.45084477989663,2005-04-01
05:Q3,6.906,0.541,0.83,0.732,0.3777,0.4054,9.7921,2005Q3,13.142642,52.5465123374737,4.116371731041597,6.315320770359567,5.569656390244823,2.873851391523865,3.0846157112093593,74.5063283318529,2005-07-01
05:Q4,7.102,0.565,0.792,0.736,0.3917,0.4155,10.0022,2005Q4,13.324204,53.30149553399213,4.240403404210863,5.944069904663723,5.523782133626894,2.939762855627248,3.1183851583179,75.06789899043875,2005-10-01
06:Q1,7.436,0.582,0.788,0.723,0.4345,0.4183,10.3818,2006Q1,13.59916,54.67984787295686,4.279676097641325,5.794475541136364,5.316504842946182,3.19505028251745,3.075925277737743,76.34147991493593,2006-01-01
06:Q2,7.76,0.59,0.796,0.739,0.4389,0.4232,10.7471,2006Q2,13.753424,56.42231345445323,4.2898408425421914,5.787649679090822,5.373207428201152,3.191205331850454,3.077051939938738,78.14126867607659,2006-04-01
06:Q3,8.045,0.603,0.821,0.754,0.4467,0.4417,11.1114,2006Q3,13.870188,58.002097736526714,4.347453689885097,5.919169949246542,5.43611953925931,3.220576390168612,3.184527852109863,80.10994515719612,2006-07-01
06:Q4,8.234,0.604,0.821,0.767,0.4816,0.4057,11.3133,2006Q4,14.03956,58.64856163583474,4.302129126553823,5.84776161076273,5.463134172295998,3.4303069326958964,2.889691699739878,80.58158517788307,2006-10-01
07:Q1,8.422,0.605,0.794,0.764,0.5064,0.4039,11.4953,2007Q1,14.215651,59.24456080133088,4.255872629399808,5.58539316982388,5.3743581634073605,3.562270908310847,2.8412346363877394,80.86369030866051,2007-01-01
07:Q2,8.706,0.619,0.807,0.796,0.514,0.4078,11.8498,2007Q2,14.402082,60.449593329631085,4.297989693434602,5.603356514703916,5.526978668778584,3.568928436874613,2.831535051668224,82.27838169509103,2007-04-01
