year,age_group,house_price_2024d,tuition_2024d,auto_2024d,health_2024d,wage_annual_2024d,mortgage_rate,auto_rate,student_rate,pay_house,pay_degree,pay_car,pay_health,pay_total,share_house,hours_house,share_degree,hours_degree,share_car,hours_car,share_health,hours_health,share_total,hours_total
1947,25 to 34 Years,,,9351.888085942444,156.10906307515566,24249.540382571733,0.0754175,0.1005,0.08,,,1756.1474900067249,156.10906307515566,1912.2565530818806,,,,,0.07241982579054888,144.83965158109777,0.006437609151031664,12.875218302063328,0.07885743494158054,157.71486988316107
1947,35 to 44 Years,,,9351.888085942444,156.10906307515566,27771.69179229481,0.0754175,0.1005,0.08,,,1756.1474900067249,156.10906307515566,1912.2565530818806,,,,,0.06323516417872548,126.47032835745095,0.0056211578409662375,11.242315681932475,0.06885632201969172,137.71264403938343
1947,45 to 54 Years,,,9351.888085942444,156.10906307515566,26363.927004737678,0.0754175,0.1005,0.08,,,1756.1474900067249,156.10906307515566,1912.2565530818806,,,,,0.06661175665109147,133.22351330218294,0.005921312976139798,11.842625952279596,0.07253306962723127,145.06613925446254
1947,55 to 64 Years,,,9351.888085942444,156.10906307515566,22891.688483247268,0.0754175,0.1005,0.08,,,1756.1474900067249,156.10906307515566,1912.2565530818806,,,,,0.07671550708423798,153.43101416847597,0.006819464767284437,13.638929534568874,0.08353497185152242,167.06994370304486
1947,65 Years and Older,,,9351.888085942444,156.10906307515566,9268.221090909092,0.0754175,0.1005,0.08,,,1756.1474900067249,156.10906307515566,1912.2565530818806,,,,,0.18948053491400577,378.96106982801155,0.016843476384942754,33.68695276988551,0.20632401129894853,412.64802259789707
1948,25 to 34 Years,,,10182.145356730278,165.90790888048852,24565.219929933828,0.0754175,0.1005,0.08,,,1912.0576344347364,165.90790888048852,2077.9655433152247,,,,,0.07783596645535455,155.6719329107091,0.006753772583909263,13.507545167818526,0.0845897390392638,169.1794780785276
1948,35 to 44 Years,,,10182.145356730278,165.90790888048852,26839.303116147308,0.0754175,0.1005,0.08,,,1912.0576344347364,165.90790888048852,2077.9655433152247,,,,,0.07124095682217571,142.4819136443514,0.006181528192536172,12.363056385072344,0.07742248501471188,154.84497002942376
1948,45 to 54 Years,,,10182.145356730278,165.90790888048852,25356.857538275235,0.0754175,0.1005,0.08,,,1912.0576344347364,165.90790888048852,2077.9655433152247,,,,,0.07540593827719214,150.81187655438427,0.00654292073180033,13.08584146360066,0.08194885900899246,163.89771801798491
1948,55 to 64 Years,,,10182.145356730278,165.90790888048852,20995.11261623235,0.0754175,0.1005,0.08,,,1912.0576344347364,165.90790888048852,2077.9655433152247,,,,,0.09107155886158148,182.14311772316296,0.00790221571625279,15.80443143250558,0.09897377457783427,197.94754915566853
1948,65 Years and Older,,,10182.145356730278,165.90790888048852,8954.574365821094,0.0754175,0.1005,0.08,,,1912.0576344347364,165.90790888048852,2077.9655433152247,,,,,0.21352858955897558,427.05717911795114,0.018527726958608548,37.05545391721709,0.2320563165175841,464.1126330351682
1949,25 to 34 Years,,,11094.887470381394,170.99946601463208,24967.088615499903,0.0754175,0.1005,0.08,,,2083.4572231788857,170.99946601463208,2254.456689193518,,,,,0.0834481446861789,166.89628937235778,0.006848995036949295,13.697990073898591,0.0902971397231282,180.5942794462564
1949,35 to 44 Years,,,11094.887470381394,170.99946601463208,26390.678383128296,0.0754175,0.1005,0.08,,,2083.4572231788857,170.99946601463208,2254.456689193518,,,,,0.07894670962724669,157.89341925449338,0.0064795403714954505,12.959080742990901,0.08542624999874214,170.85249999748427
1949,45 to 54 Years,,,11094.887470381394,170.99946601463208,24447.183687113487,0.0754175,0.1005,0.08,,,2083.4572231788857,170.99946601463208,2254.456689193518,,,,,0.08522279088846992,170.44558177693983,0.0069946488807530295,13.989297761506059,0.09221743976922295,184.4348795384459
