year,age_group,wage_annual_2024d,hourly_2024d,house_price_2024d,tuition_2024d,auto_2024d,health_2024d,alloc_weight_housing,alloc_weight_education,alloc_weight_transport,alloc_weight_health,alloc_housing_2024d,alloc_education_2024d,alloc_transport_2024d,alloc_health_2024d,time_years_housing,time_years_education,time_years_transport,time_years_health,time_hours_housing,time_hours_education,time_hours_transport,time_hours_health,time_years_total,time_hours_total
1947,25 to 34 Years,24249.540382571733,12.124770191285867,0.0,0.0,9351.888085942444,156.10906307515566,0.19296602978611346,0.1702485292352023,0.1823906539393076,0.12325986078886311,0.0,0.0,1705.696983562262,19.241981382523537,0.0,0.0,0.07033935310329242,0.0007934988077692741,0.0,0.0,140.67870620658485,1.5869976155385481,0.0711328519110617,142.26570382212338
1947,35 to 44 Years,27771.69179229481,13.885845896147405,0.0,0.0,9351.888085942444,156.10906307515566,0.22214500980191357,0.17349021491175412,0.22198318848838866,0.19170533642691415,0.0,0.0,2075.961935704078,29.926940456113076,0.0,0.0,0.0747510072929748,0.001077605955011219,0.0,0.0,149.5020145859496,2.155211910022438,0.07582861324798602,151.65722649597205
1947,45 to 54 Years,26363.927004737678,13.18196350236884,0.0,0.0,9351.888085942444,156.10906307515566,0.22491002721128245,0.3819185976707888,0.24482119960108278,0.21745295179169888,0.0,0.0,2289.540459735503,33.9463765671291,0.0,0.0,0.08684368073557729,0.0012876069851440884,0.0,0.0,173.68736147115456,2.5752139702881767,0.08813128772072137,176.26257544144275
1947,55 to 64 Years,22891.688483247268,11.445844241623634,0.0,0.0,9351.888085942444,156.10906307515566,0.1976402258829037,0.22283587465482052,0.21491665479413022,0.21626063418406805,0.0,0.0,2009.8765034398316,33.760244982513846,0.0,0.0,0.08779939954672682,0.0014747817753688406,0.0,0.0,175.59879909345364,2.949563550737681,0.08927418132209566,178.54836264419131
1947,65 Years and Older,9268.221090909092,4.634110545454546,0.0,0.0,9351.888085942444,156.10906307515566,0.16233870731778682,0.05150678352743426,0.13588830317709075,0.25132121680845576,0.0,0.0,1270.8122035007698,39.23351968687609,0.0,0.0,0.13711500740387708,0.004233122980348303,0.0,0.0,274.2300148077542,8.466245960696606,0.1413481303842254,282.69626076845077
1948,25 to 34 Years,24565.219929933828,12.282609964966914,0.0,0.0,10182.145356730278,165.90790888048852,0.19296602978611346,0.1702485292352023,0.1823906539393076,0.12325986078886311,0.0,0.0,1857.1281501191197,20.4497857523804,0.0,0.0,0.07559989918332159,0.0008324690684922961,0.0,0.0,151.1997983666432,1.6649381369845921,0.07643236825181389,152.86473650362777
1948,35 to 44 Years,26839.303116147308,13.419651558073655,0.0,0.0,10182.145356730278,165.90790888048852,0.22214500980191357,0.17349021491175412,0.22198318848838866,0.19170533642691415,0.0,0.0,2260.2650919392286,31.80543148781987,0.0,0.0,0.08421474589552168,0.0011850319417826014,0.0,0.0,168.42949179104335,2.370063883565203,0.08539977783730428,170.79955567460854
1948,45 to 54 Years,25356.857538275235,12.678428769137618,0.0,0.0,10182.145356730278,165.90790888048852,0.22491002721128245,0.3819185976707888,0.24482119960108278,0.21745295179169888,0.0,0.0,2492.8050407473015,36.07716451165044,0.0,0.0,0.09830891059684761,0.0014227774264690843,0.0,0.0,196.61782119369522,2.8455548529381685,0.0997316880233167,199.46337604663339
1948,55 to 64 Years,20995.11261623235,10.497556308116174,0.0,0.0,10182.145356730278,165.90790888048852,0.1976402258829037,0.22283587465482052,0.21491665479413022,0.21626063418406805,0.0,0.0,2188.312618696057,35.879349590647024,0.0,0.0,0.10422962042147683,0.0017089381822561383,0.0,0.0,208.45924084295368,3.4178763645122765,0.10593855860373297,211.87711720746594
1948,65 Years and Older,8954.574365821094,4.477287182910547,0.0,0.0,10182.145356730278,165.90790888048852,0.16233870731778682,0.05150678352743426,0.13588830317709075,0.25132121680845576,0.0,0.0,1383.634455228571,41.69617753799078,0.0,0.0,0.15451705449114309,0.004656410883932329,0.0,0.0,309.03410898228617,9.312821767864659,0.1591734653750754,318.3469307501508
1949,25 to 34 Years,24967.088615499903,12.483544307749952,0.0,0.0,11094.887470381394,170.99946601463208,0.19296602978611346,0.1702485292352023,0.1823906539393076,0.12325986078886311,0.0,0.0,2023.6037811058927,21.07737037593348,0.0,0.0,0.0810508510731849,0.0008442061747979845,0.0,0.0,162.1017021463698,1.6884123495959689,0.08189505724798288,163.79011449596575
1949,35 to 44 Years,26390.678383128296,13.195339191564148,0.0,0.0,11094.887470381394,170.99946601463208,0.22214500980191357,0.17349021491175412,0.22198318848838866,0.19170533642691415,0.0,0.0,2462.878496595135,32.78151016115771,0.0,0.0,0.09332380399018718,0.0012421624668093076,0.0,0.0,186.64760798037435,2.4843249336186153,0.09456596645699648,189.13193291399296
1949,45 to 54 Years,24447.183687113487,12.223591843556743,0.0,0.0,11094.887470381394,170.99946601463208,0.22491002721128245,0.3819185976707888,0.24482119960108278,0.21745295179169888,0.0,0.0,2716.2636599377956,37.18433863968604,0.0,0.0,0.11110742630733302,0.001521007045866249,0.0,0.0,222.21485261466603,3.042014091732498,0.11262843335319926,225.2568667063985
1949,55 to 64 Years,21198.897637795275,10.599448818897638,0.0,0.0,11094.887470381394,170.99946601463208,0.1976402258829037,0.22283587465482052,0.21491665479413022,0.21626063418406805,0.0,0.0,2384.476100451679,36.980452965461325,0.0,0.0,0.11248113657572568,0.0017444516973151138,0.0,0.0,224.96227315145137,3.4889033946302277,0.1142255882730408,228.4511765460816
1949,65 Years and Older,8784.482515691047,4.392241257845523,0.0,0.0,11094.887470381394,170.99946601463208,0.16233870731778682,0.05150678352743426,0.13588830317709075,0.25132121680845576,0.0,0.0,1507.6654322908923,42.97579387239351,0.0,0.0,0.17162825807870474,0.004892239673268078,0.0,0.0,343.25651615740946,9.784479346536155,0.17652049775197282,353.0409955039456
1950,25 to 34 Years,26041.08014812025,13.020540074060126,0.0,0.0,11148.975891931092,174.0736137182659,0.19296602978611346,0.1702485292352023,0.1823906539393076,0.12325986078886311,0.0,0.0,2033.469003682887,21.456289393927786,0.0,0.0,0.07808696844050345,0.0008239400697622977,0.0,0.0,156.17393688100688,1.6478801395245954,0.07891090851026575,157.82181702053148
1950,35 to 44 Years,28216.455317371936,14.108227658685967,0.0,0.0,11148.975891931092,174.0736137182659,0.22214500980191357,0.17349021491175412,0.22198318848838866,0.19170533642691415,0.0,0.0,2474.8852168710405,33.37084068090886,0.0,0.0,0.08771070600591477,0.001182673029108782,0.0,0.0,175.42141201182955,2.365346058217564,0.08889337903502355,177.78675807004709
1950,45 to 54 Years,26706.090115092644,13.353045057546321,0.0,0.0,11148.975891931092,174.0736137182659,0.22491002721128245,0.3819185976707888,0.24482119960108278,0.21745295179169888,0.0,0.0,2729.5056521861216,37.85282113208489,0.0,0.0,0.10220536366136099,0.0014173853592552958,0.0,0.0,204.41072732272198,2.8347707185105917,0.10362274902061629,207.24549804123257
1950,55 to 64 Years,21509.091597274797,10.754545798637398,0.0,0.0,11148.975891931092,174.0736137182659,0.1976402258829037,0.22283587465482052,0.21491665479413022,0.21626063418406805,0.0,0.0,2396.1006030742346,37.64527009742467,0.0,0.0,0.11139943275790506,0.0017502026957844342,0.0,0.0,222.79886551581012,3.500405391568868,0.1131496354536895,226.299270907379
1950,65 Years and Older,8533.754824614638,4.266877412307319,0.0,0.0,11148.975891931092,174.0736137182659,0.16233870731778682,0.05150678352743426,0.13588830317709075,0.25132121680845576,0.0,0.0,1515.015416116808,43.74839241391968,0.0,0.0,0.17753210014270854,0.005126511519610624,0.0,0.0,355.0642002854171,10.253023039221247,0.18265861166231917,365.31722332463835
