year,index_2000,auto_cpi_index,auto_2024d
1947,24.22416812609457,34.58,9351.888085942443
1948,26.374781085814362,37.650000000000006,10182.145356730278
1949,28.739054290718038,41.025,11094.887470381394
1950,28.879159369527148,41.225,11148.975891931093
1951,30.42031523642732,43.425,11743.948528977748
1952,32.90718038528897,46.974999999999994,12704.018011484852
1953,33.09982486865149,47.25,12778.389591115685
1954,32.58026853473439,46.50833333333333,12577.811694535561
1955,31.436077057793344,44.875,12136.089585213045
1956,32.323409223584356,46.14166666666667,12478.64958836112
1957,34.00467016929363,48.541666666666664,13127.710646957472
1958,35.1021599532983,50.10833333333333,13551.403282430088
1959,36.596614127262114,52.24166666666667,14128.346445626847
1960,36.12375948628138,51.56666666666666,13945.79802289662
1961,36.11792177466434,51.55833333333334,13943.544338665386
1962,35.97781669585522,51.35833333333333,13889.455917115687
1963,35.76182136602452,51.050000000000004,13806.06960055991
1964,35.66258026853473,50.90833333333333,13767.756968628873
1965,34.88032691185055,49.791666666666664,13465.76328164307
1966,34.249854057209575,48.89166666666667,13222.365384669441
1967,34.57092819614711,49.35,13346.318017387492
1968,35.51079976649154,50.69166666666666,13709.161178616703
1969,36.08873321657911,51.51666666666667,13932.275917509201
1970,37.22124927028605,53.13333333333333,14369.490658369241
1971,38.7215411558669,55.275,14948.687505797237
1972,38.382953882078226,54.791666666666664,14817.97382038547
1973,38.39462930531232,54.80833333333334,14822.481188847949
1974,40.61879743140688,57.98333333333333,15681.134880949368
1975,44.121424401634556,62.98333333333333,17033.34541969177
1976,46.91185055458261,66.96666666666667,18110.60648222322
1977,49.404553415061294,70.52499999999999,19072.929648961555
1978,53.16987740805603,75.89999999999999,20526.555978109634
1979,57.39054290718039,81.925,22155.96967729423
1980,61.973146526561585,88.46666666666665,23925.111798815535
1981,65.75598365440747,93.86666666666667,25385.499180657334
1982,68.28371278458845,97.47500000000001,26361.344452783098
1983,69.96497373029771,99.875,27010.40551137945
1984,71.89725627553997,102.63333333333333,27756.374991919005
1985,74.2907180385289,106.05,28680.385526726313
1986,77.47810858143608,110.60000000000001,29910.8971169819
1987,80.128429655575,114.38333333333333,30934.069757963647
1988,81.62288382953882,116.51666666666667,31511.012921160407
1989,83.47343841214246,119.15833333333335,32225.430822462644
1990,85.04378283712784,121.39999999999999,32831.67188066548
1991,88.25452422650321,125.98333333333333,34071.19820784602
1992,90.51371862230006,129.20833333333334,34943.37400533487
1993,92.9889083479276,132.74166666666667,35898.9361193795
1994,96.38061879743141,137.58333333333334,37208.32665772839
1995,98.73905429071806,140.95000000000002,38118.81508714827
1996,100.64214827787508,143.66666666666666,38853.51614653164
1997,101.05078809106831,144.25,39011.27404271825
1998,100.48453006421482,143.44166666666666,38792.66667228823
1999,100.07589025102159,142.85833333333332,38634.90877610161
2000,100.0,142.75,38605.610881095534
2001,99.55049620548743,142.10833333333332,38432.07719529026
2002,98.07355516637479,140.0,37861.89508478721
2003,96.56742556917688,137.85,37280.44455312798
2004,96.0128429655575,137.05833333333334,37066.34455116044
2005,96.60828955049621,137.90833333333333,37296.220342746645
2006,96.38061879743141,137.58333333333334,37208.32665772839
2007,95.44967892586106,136.25441666666666,36848.931633372966
2008,94.00607122008174,134.19366666666667,36291.61805983029
2009,95.00764740221832,135.62341666666666,36678.282663383674
2010,96.67635726795098,138.0055,37322.49830088287
2011,99.39293636894338,141.88341666666668,38371.250257889165
2012,101.03823701109165,144.23208333333332,39006.42862162109
2013,102.12492702860479,145.78333333333333,39425.95194126592
2014,102.46923525977816,146.27483333333333,39558.8742372243
2015,103.07180385288966,147.135,39791.49952357262
2016,103.22767075306479,147.3575,39851.67289254665
2017,102.97180385288966,146.99224999999998,39752.89391269152
2018,102.47752481027436,146.28666666666666,39562.07446883266
2019,102.86094570928196,146.834,39710.09644914033
2020,103.39772329246935,147.60025,39917.32271420259
2021,109.4503794512551,156.24041666666668,42253.987598834094
2022,120.8267367192061,172.4801666666667,46645.899818142476
2023,125.3231173380035,178.89874999999998,48381.755023568396
2024,124.6140105078809,177.88649999999998,48108.0
2025,124.99535901926447,178.43087500000001,48255.22192240559
