year,category,series_id,cpi,component_growth_1983,relative_index
1983,All items,CUUR0000SA0,99.60000000000001,1.0,1.0
1983,Apparel,CUUR0000SAA,100.19166666666666,1.0,1.0
1983,College tuition,CUUR0000SEEB01,99.72500000000001,1.0,1.0
1983,Food,CUUR0000SAF1,99.40833333333335,1.0,1.0
1983,Household Energy,CUUR0000SAH21,100.45833333333333,1.0,1.0
1983,Medical care,CUUR0000SAM,100.59166666666665,1.0,1.0
1983,New vehicles,CUUR0000SETA01,99.875,1.0,1.0
1983,Shelter,CUUR0000SAH1,99.13333333333333,1.0,1.0
1984,All items,CUUR0000SA0,103.88333333333333,1.0430053547523426,1.0
1984,Apparel,CUUR0000SAA,102.03333333333335,1.0183814355818017,0.9763913779940394
1984,College tuition,CUUR0000SEEB01,109.94166666666666,1.102448399766023,1.0569920803789115
1984,Food,CUUR0000SAF1,103.23333333333333,1.0384776594852878,0.9956589913499247
1984,Household Energy,CUUR0000SAH21,103.95833333333333,1.0348403152218997,0.9921716226160875
1984,Medical care,CUUR0000SAM,106.85833333333333,1.062298069753956,1.0184972348547474
1984,New vehicles,CUUR0000SETA01,102.63333333333333,1.0276178556528994,0.9852469605938918
1984,Shelter,CUUR0000SAH1,103.99166666666667,1.0490080699394757,1.0057552103254144
1985,All items,CUUR0000SA0,107.56666666666666,1.0799866131191431,1.0
1985,Apparel,CUUR0000SAA,105.02499999999999,1.0482408716626466,0.9706054305943564
1985,College tuition,CUUR0000SEEB01,119.925,1.2025570318375531,1.1134925352124603
1985,Food,CUUR0000SAF1,105.56666666666666,1.0619498700645484,0.9832991049745494
1985,Household Energy,CUUR0000SAH21,104.53333333333335,1.040564081294069,0.9634972032558657
1985,Medical care,CUUR0000SAM,113.51666666666667,1.128489768867534,1.0449108860787704
1985,New vehicles,CUUR0000SETA01,106.05,1.0618272841051313,0.9831855980496227
1985,Shelter,CUUR0000SAH1,109.81666666666666,1.1077673167451245,1.0257231925734218
1986,All items,CUUR0000SA0,109.60833333333333,1.1004852744310574,1.0
1986,Apparel,CUUR0000SAA,105.91666666666667,1.0571404807452385,0.9606130180085982
1986,College tuition,CUUR0000SEEB01,129.63333333333333,1.299908080554859,1.1812135162162
1986,Food,CUUR0000SAF1,108.94166666666666,1.0959007460809789,0.9958340847836891
1986,Household Energy,CUUR0000SAH21,99.175,0.9872252177519701,0.8970817153935642
1986,Medical care,CUUR0000SAM,122.04166666666667,1.2132383398227158,1.1024575866768875
1986,New vehicles,CUUR0000SETA01,110.60000000000001,1.1073842302878598,1.0062690124230596
1986,Shelter,CUUR0000SAH1,115.825,1.168375924680565,1.0616915571947172
1987,All items,CUUR0000SA0,113.625,1.140813253012048,1.0
1987,Apparel,CUUR0000SAA,110.575,1.1036347001580304,0.967410483042815
1987,College tuition,CUUR0000SEEB01,139.38333333333333,1.3976769449318958,1.2251584045343615
1987,Food,CUUR0000SAF1,113.48333333333333,1.1415877273870398,1.0006788791881116
1987,Household Energy,CUUR0000SAH21,97.28333333333335,0.9683948569058484,0.8488636105418923
1987,Medical care,CUUR0000SAM,130.14166666666668,1.2937619087068182,1.134069844727825
1987,New vehicles,CUUR0000SETA01,114.38333333333333,1.1452649144764289,1.0039021824585463
1987,Shelter,CUUR0000SAH1,121.24166666666667,1.223016139878951,1.072056391920295
1988,All items,CUUR0000SA0,118.25833333333333,1.1873326639892903,1.0
1988,Apparel,CUUR0000SAA,115.375,1.151542876154038,0.9698569837074953
1988,College tuition,CUUR0000SEEB01,150.0,1.5041363750313361,1.2668196712264486
1988,Food,CUUR0000SAF1,118.175,1.1887836365160531,1.0012220438052195
1988,Household Energy,CUUR0000SAH21,97.99166666666667,0.9754458730817089,0.8215438711206108
1988,Medical care,CUUR0000SAM,138.64166666666668,1.3782619501284072,1.1608052165410983
1988,New vehicles,CUUR0000SETA01,116.51666666666667,1.166624947851481,0.982559465627574
1988,Shelter,CUUR0000SAH1,127.08333333333333,1.2819435104236718,1.0796835203004531
1989,All items,CUUR0000SA0,123.96666666666665,1.2446452476572956,1.0
1989,Apparel,CUUR0000SAA,118.58333333333333,1.1835648340680363,0.9509254434512754
1989,College tuition,CUUR0000SEEB01,161.9,1.6234645274504889,1.3043592385109066
1989,Food,CUUR0000SAF1,125.075,1.2581943163718667,1.0108858879588971
1989,Household Energy,CUUR0000SAH21,100.86666666666667,1.0040647034425552,0.8067075380173045
1989,Medical care,CUUR0000SAM,149.25,1.4837213155496647,1.192083702840118
1989,New vehicles,CUUR0000SETA01,119.15833333333335,1.1930746766791824,0.9585660483778967
1989,Shelter,CUUR0000SAH1,132.83333333333334,1.3399462004034972,1.0765687676272253
1990,All items,CUUR0000SA0,130.65833333333333,1.3118306559571618,1.0
1990,Apparel,CUUR0000SAA,124.08333333333333,1.2384596190634618,0.9440697344885833
1990,College tuition,CUUR0000SEEB01,174.96666666666667,1.7544915183421073,1.3374375041281248
1990,Food,CUUR0000SAF1,132.36666666666667,1.3315449744320562,1.0150280970987906
1990,Household Energy,CUUR0000SAH21,104.45833333333333,1.0398175031107424,0.7926461379666813
1990,Medical care,CUUR0000SAM,162.79999999999998,1.618424322757021,1.233714363517566
1990,New vehicles,CUUR0000SETA01,121.39999999999999,1.2155193992490612,0.9265825537231189
1990,Shelter,CUUR0000SAH1,139.98333333333332,1.4120712844653664,1.0764127809126898
1991,All items,CUUR0000SA0,136.19166666666666,1.3673862115127173,1.0
1991,Apparel,CUUR0000SAA,128.70833333333334,1.284621142809615,0.9394720613633067
1991,College tuition,CUUR0000SEEB01,192.78333333333333,1.9331494944430516,1.4137552932499147
1991,Food,CUUR0000SAF1,136.25,1.3706094391818255,1.0023572182035845
1991,Household Energy,CUUR0000SAH21,106.7,1.0621318954790544,0.7767607180300838
1991,Medical care,CUUR0000SAM,177.01666666666665,1.7597547841935217,1.2869478786441275
1991,New vehicles,CUUR0000SETA01,125.98333333333333,1.261410095953275,0.9224973056864435
1991,Shelter,CUUR0000SAH1,146.275,1.4755379959650303,1.0790938094458817
1992,All items,CUUR0000SA0,140.31666666666666,1.4088018741633197,1.0
1992,Apparel,CUUR0000SAA,131.875,1.3162272311403145,0.9342883873731466
1992,College tuition,CUUR0000SEEB01,213.51666666666665,2.1410545667251606,1.5197698171694456
1992,Food,CUUR0000SAF1,137.89166666666668,1.3871238159108055,0.9846124152373174
1992,Household Energy,CUUR0000SAH21,108.09166666666665,1.0759850684363335,0.7637589700647974
1992,Medical care,CUUR0000SAM,190.0666666666667,1.8894872007290204,1.3412015098653793
1992,New vehicles,CUUR0000SETA01,129.20833333333334,1.2937004589069672,0.9182983658900151
1992,Shelter,CUUR0000SAH1,151.19166666666666,1.5251344989912576,1.0825755750055537
1993,All items,CUUR0000SA0,144.45833333333334,1.4503848728246318,1.0
1993,Apparel,CUUR0000SAA,133.65833333333333,1.3340264493054979,0.9197741056878749
1993,College tuition,CUUR0000SEEB01,233.49166666666667,2.341355394000167,1.6142993751998844
1993,Food,CUUR0000SAF1,140.85833333333332,1.4169670550758653,0.9769593448091574
1993,Household Energy,CUUR0000SAH21,111.20833333333333,1.1070095396101203,0.7632522652102773
1993,Medical care,CUUR0000SAM,201.40833333333333,2.0022367658023366,1.380486520038623
1993,New vehicles,CUUR0000SETA01,132.74166666666667,1.3290780141843972,0.9163622974059369
1993,Shelter,CUUR0000SAH1,155.73333333333332,1.5709482178883658,1.0831250706779203
1994,All items,CUUR0000SA0,148.225,1.4882028112449797,1.0
1994,Apparel,CUUR0000SAA,133.4,1.3314480578890462,0.8946684200758915
1994,College tuition,CUUR0000SEEB01,249.79166666666666,2.504804880086905,1.6831072090177486
1994,Food,CUUR0000SAF1,144.275,1.4513370777097827,0.9752280178100481
1994,Household Energy,CUUR0000SAH21,111.64999999999999,1.111406055578598,0.746810883019925
1994,Medical care,CUUR0000SAM,211.01666666666665,2.0977549498798775,1.4095894282883175
1994,New vehicles,CUUR0000SETA01,137.58333333333334,1.3775552774301212,0.9256502319584422
1994,Shelter,CUUR0000SAH1,160.525,1.6192837928715536,1.0880800524203527
1995,All items,CUUR0000SA0,152.38333333333333,1.529953145917001,1.0
1995,Apparel,CUUR0000SAA,131.95833333333334,1.317058970306912,0.8608492186978134
1995,College tuition,CUUR0000SEEB01,264.81666666666666,2.6554692069858774,1.7356539408233191
1995,Food,CUUR0000SAF1,148.41666666666666,1.49300025148797,0.975847041768797
1995,Household Energy,CUUR0000SAH21,111.5,1.1099128992119454,0.7254554835054782
1995,Medical care,CUUR0000SAM,220.46666666666667,2.191699113577997,1.4325269498788267
1995,New vehicles,CUUR0000SETA01,140.95000000000002,1.4112640801001253,0.9224230714949524
1995,Shelter,CUUR0000SAH1,165.68333333333334,1.6713180901143243,1.0923982179288203
