year,age_group,wage_annual_2024d,hourly_2024d,time_years_total,time_hours_total,total_cost_2024d,cost_2024d_education,cost_2024d_health,cost_2024d_housing,cost_2024d_transport,time_years_education,time_years_health,time_years_housing,time_years_transport,time_hours_education,time_hours_health,time_hours_housing,time_hours_transport
1980,25 to 34 Years,38717.654320987655,19.358827160493828,1.0770058068196715,2154.0116136393426,41699.138530140444,445.3237810670126,1933.6542929673835,24361.311420453218,14958.849035652833,0.011501827496445625,0.049942444264223125,0.6292042182743415,0.3863573167846612,23.00365499289125,99.88488852844625,1258.4084365486829,772.7146335693224
1980,35 to 44 Years,45686.67207792208,22.843336038961038,1.0881140919892416,2176.2281839784832,49712.31170407841,453.8031478433238,3007.401147415154,28045.059383159354,18206.04802566058,0.009932943836866213,0.06582666258303524,0.6138564729627578,0.39849801260658224,19.865887673732427,131.6533251660705,1227.7129459255157,796.9960252131644
1980,45 to 54 Years,45185.13282732448,22.59256641366224,1.1703753590928032,2340.7507181856063,52883.56605843591,998.9950264980022,3411.3200441683407,28394.133519510047,20079.117468259512,0.022108931942629747,0.07549651468780098,0.6283954863653619,0.44437442609701067,44.2178638852595,150.99302937560196,1256.7909727307238,888.7488521940213
1980,55 to 64 Years,35059.18217433889,17.529591087169443,1.3278515527067083,2655.7031054134163,46553.38948682324,582.8779532160617,3392.6154144063034,24951.412936665103,17626.483182535772,0.01662554335459347,0.09676824169873205,0.7116940952184551,0.5027636724349277,33.251086709186936,193.5364833974641,1423.38819043691,1005.5273448698554
1980,65 Years and Older,18728.00410677618,9.364002053388091,1.907144707152824,3814.289414305648,35717.01390777455,134.72771655694527,3942.632635517026,20494.715100611003,11144.938455089572,0.00719391750390518,0.21052070541198245,1.0943352523719059,0.5950948318650305,14.38783500781036,421.0414108239649,2188.6705047438118,1190.189663730061
1981,25 to 34 Years,37080.93570451436,18.54046785225718,1.138005889560058,2276.011779120116,42198.32322213518,452.85070575069045,1940.6195715734686,24610.294531762396,15194.558413048626,0.012212494025482717,0.05233469799785044,0.6636913029345766,0.4097673946021483,24.424988050965435,104.66939599570088,1327.3826058691532,819.5347892042965
1981,35 to 44 Years,44689.2471042471,22.34462355212355,1.1256471515492026,2251.294303098405,50304.3237077742,461.47339196738204,3018.234204258971,28331.691987683556,18492.92412386429,0.010326273586370742,0.06753826479149007,0.6339711188598435,0.4138114943114983,20.652547172741485,135.07652958298013,1267.942237719687,827.6229886229966
1981,45 to 54 Years,43852.16850167544,21.92608425083772,1.2204488800092201,2440.8977600184403,53519.329933845394,1015.8801798257731,3423.6080703209846,28684.33381228576,20395.507871412872,0.023166019253687758,0.07807157974844917,0.6541143754656017,0.4650969055414815,46.332038507375515,156.14315949689833,1308.2287509312034,930.193811082963
1981,55 to 64 Years,34870.75508228461,17.435377541142305,1.3509377671881282,2701.8755343762564,47108.220011025645,592.7298377103536,3404.836064007725,25206.427140018506,17904.22696928906,0.016997906592836533,0.0976415926748166,0.7228529201773474,0.5134453477431277,33.995813185673065,195.28318534963321,1445.7058403546948,1026.8906954862553
1981,65 Years and Older,18970.98196392785,9.485490981963926,1.9038851416742018,3807.7702833484036,36118.5706840915,137.004903220766,3956.8345199219557,20704.179929621034,11320.551331327744,0.00722181400421298,0.2085729946634092,1.091360477227207,0.5967298557793725,14.443628008425959,417.1459893268184,2182.720954454414,1193.459711558745
1982,25 to 34 Years,35973.73097826087,17.986865489130437,1.1754133194446903,2350.826638889381,42284.00254196789,483.1670977360001,2041.6903762684194,24854.408355043677,14904.7367129198,0.013431108884090468,0.0567550354313325,0.6909043815906484,0.41432279353861895,26.862217768180937,113.510070862665,1381.8087631812969,828.6455870772379
1982,35 to 44 Years,43576.59543109801,21.788297715549003,1.157059284208869,2314.118568417738,50420.70431776573,492.36703542208755,3175.4290322668826,28612.71900433364,18140.189245743117,0.011298887179027177,0.07287005790270547,0.6566074912753385,0.41628284785179775,22.597774358054355,145.74011580541094,1313.214982550677,832.5656957035956
1982,45 to 54 Years,42823.00435413643,21.411502177068215,1.2530915800897622,2506.1831601795243,53661.14619031558,1083.8889547942288,3601.9154664207304,28968.858744978315,20006.48302412231,0.025310904060600596,0.08411169465443656,0.6764788968427459,0.4671900845319792,50.62180812120119,168.22338930887312,1352.9577936854917,934.3801690639584
1982,55 to 64 Years,34353.11046511628,17.17655523255814,1.374948314960793,2749.8966299215863,47233.75134767363,632.4105313103076,3582.165781735258,25456.454107085865,17562.720927542196,0.018409119952980276,0.10427485992491867,0.7410232657952621,0.5112410692876321,36.81823990596055,208.54971984983735,1482.0465315905242,1022.4821385752642
1982,65 Years and Older,20293.928430987024,10.146964215493512,1.789858534018799,3579.7170680375975,36323.260990968854,146.17678767894503,4162.913266540498,20909.54831779698,11104.622618952433,0.007202981333852843,0.20513097208838577,1.0303351758090347,0.5471894047875256,14.405962667705685,410.2619441767715,2060.670351618069,1094.3788095750513
1983,25 to 34 Years,35806.908801696714,17.903454400848357,1.1782528117213507,2356.5056234427016,42189.59097464913,515.8482723760329,2151.0034852833455,24735.606563339014,14787.132653650739,0.014406389427047927,0.06007230328638198,0.6908054169190644,0.41296870208885633,28.812778854095853,120.14460657276396,1381.6108338381289,825.9374041777127
1983,35 to 44 Years,44265.04042179262,22.13252021089631,1.1373337094285376,2274.667418857075,50344.12262092156,525.6704891279038,3345.443067699509,28475.952832526254,17997.056231567894,0.011875522627312571,0.07557754462260642,0.6433057004169579,0.40657494176166076,23.751045254625144,151.15508924521285,1286.6114008339157,813.1498835233215
1983,45 to 54 Years,44180.76701821669,22.090383509108346,1.2138988198006768,2427.7976396013537,53630.98094130191,1157.202647692638,3794.7637957364745,28830.39025788418,19848.624239988618,0.026192452639301127,0.08589175905823027,0.6525552226378682,0.4492593854652772,52.384905278602254,171.78351811646053,1305.1104452757365,898.5187709305544
