source_row,item,age_group,mean,share_reported,se,rse
317,Furniture,45-54 years,648.0,0.6,52.27,8.07
317,Furniture,55-64 years,790.0,0.9,105.35,13.34
317,Furniture,65 years and older,591.0,1.0,47.16,7.98
317,Furniture,65-74 years,650.0,1.0,62.77,9.66
317,Furniture,75 years and older,506.0,0.9,79.83,15.77
322,Floor coverings,All consumer units,30.0,,3.17,10.49
322,Floor coverings,Under 25 years,12.0,,3.48,28.23
322,Floor coverings,25-34 years,22.0,,4.2,18.81
322,Floor coverings,35-44 years,33.0,,6.43,19.76
322,Floor coverings,45-54 years,23.0,,3.76,16.6
322,Floor coverings,55-64 years,39.0,,8.65,22.36
322,Floor coverings,65 years and older,35.0,0.1,6.99,19.83
322,Floor coverings,65-74 years,50.0,0.1,11.63,23.04
322,Floor coverings,75 years and older,13.0,,4.3,31.94
327,Major appliances,All consumer units,385.0,0.5,17.48,4.54
327,Major appliances,Under 25 years,144.0,0.3,29.3,20.34
327,Major appliances,25-34 years,307.0,0.4,44.96,14.64
327,Major appliances,35-44 years,431.0,0.5,39.59,9.19
327,Major appliances,45-54 years,435.0,0.4,40.07,9.22
327,Major appliances,55-64 years,478.0,0.6,40.53,8.48
327,Major appliances,65 years and older,353.0,0.6,27.26,7.72
327,Major appliances,65-74 years,392.0,0.6,41.56,10.6
327,Major appliances,75 years and older,298.0,0.5,31.93,10.73
332,Small appliances and miscellaneous housewares,All consumer units,155.0,0.2,9.26,5.98
332,Small appliances and miscellaneous housewares,Under 25 years,95.0,0.2,27.17,28.75
332,Small appliances and miscellaneous housewares,25-34 years,124.0,0.2,11.38,9.14
332,Small appliances and miscellaneous housewares,35-44 years,228.0,0.2,53.64,23.54
332,Small appliances and miscellaneous housewares,45-54 years,162.0,0.2,23.0,14.17
332,Small appliances and miscellaneous housewares,55-64 years,195.0,0.2,27.01,13.87
332,Small appliances and miscellaneous housewares,65 years and older,106.0,0.2,9.44,8.91
332,Small appliances and miscellaneous housewares,65-74 years,130.0,0.2,13.65,10.49
332,Small appliances and miscellaneous housewares,75 years and older,72.0,0.1,11.73,16.39
337,Miscellaneous household equipment,All consumer units,1089.0,1.4,46.75,4.29
337,Miscellaneous household equipment,Under 25 years,758.0,1.6,127.83,16.86
337,Miscellaneous household equipment,25-34 years,967.0,1.3,69.02,7.14
337,Miscellaneous household equipment,35-44 years,1135.0,1.2,91.32,8.05
337,Miscellaneous household equipment,45-54 years,1356.0,1.4,113.29,8.36
337,Miscellaneous household equipment,55-64 years,1179.0,1.4,71.64,6.08
337,Miscellaneous household equipment,65 years and older,973.0,1.6,121.26,12.46
337,Miscellaneous household equipment,65-74 years,1187.0,1.8,197.28,16.62
337,Miscellaneous household equipment,75 years and older,669.0,1.2,60.35,9.02
343,Apparel and services,All consumer units,2001.0,2.5,65.72,3.28
343,Apparel and services,Under 25 years,1541.0,3.3,315.51,20.48
343,Apparel and services,25-34 years,2220.0,3.0,131.45,5.92
343,Apparel and services,35-44 years,2649.0,2.9,142.32,5.37
343,Apparel and services,45-54 years,2547.0,2.5,190.62,7.48
343,Apparel and services,55-64 years,2032.0,2.4,119.75,5.89
343,Apparel and services,65 years and older,1198.0,1.9,84.47,7.05
343,Apparel and services,65-74 years,1377.0,2.1,120.91,8.78
343,Apparel and services,75 years and older,942.0,1.7,83.92,8.9
348,Men and boys,All consumer units,467.0,0.6,23.7,5.08
348,Men and boys,Under 25 years,584.0,1.2,270.21,46.28
348,Men and boys,25-34 years,480.0,0.6,45.7,9.52
348,Men and boys,35-44 years,617.0,0.7,62.42,10.12
348,Men and boys,45-54 years,619.0,0.6,73.0,11.79
348,Men and boys,55-64 years,471.0,0.6,52.86,11.22
348,Men and boys,65 years and older,253.0,0.4,27.02,10.66
348,Men and boys,65-74 years,289.0,0.4,43.83,15.17
348,Men and boys,75 years and older,203.0,0.4,37.91,18.67
353,"Men, 16 and over",All consumer units,374.0,0.5,21.75,5.81
353,"Men, 16 and over",Under 25 years,575.0,1.2,270.12,46.99
353,"Men, 16 and over",25-34 years,389.0,0.5,37.95,9.75
353,"Men, 16 and over",35-44 years,364.0,0.4,36.95,10.14
353,"Men, 16 and over",45-54 years,500.0,0.5,52.18,10.44
353,"Men, 16 and over",55-64 years,427.0,0.5,50.36,11.81
353,"Men, 16 and over",65 years and older,235.0,0.4,27.23,11.61
353,"Men, 16 and over",65-74 years,263.0,0.4,43.11,16.37
353,"Men, 16 and over",75 years and older,194.0,0.3,36.99,19.09
358,"Boys, 2 to 15",All consumer units,92.0,0.1,11.05,11.97
358,"Boys, 2 to 15",Under 25 years,9.0,,7.61,84.16
358,"Boys, 2 to 15",25-34 years,91.0,0.1,25.99,28.6
358,"Boys, 2 to 15",35-44 years,253.0,0.3,38.75,15.32
358,"Boys, 2 to 15",45-54 years,119.0,0.1,39.02,32.78
358,"Boys, 2 to 15",55-64 years,45.0,0.1,17.2,38.51
358,"Boys, 2 to 15",65 years and older,19.0,,5.24,27.82
358,"Boys, 2 to 15",65-74 years,26.0,,8.58,33.63
358,"Boys, 2 to 15",75 years and older,9.0,,4.03,43.37
363,Women and girls,All consumer units,744.0,0.9,37.23,5.01
363,Women and girls,Under 25 years,428.0,0.9,97.49,22.78
363,Women and girls,25-34 years,737.0,1.0,77.03,10.44
363,Women and girls,35-44 years,1006.0,1.1,58.07,5.77
363,Women and girls,45-54 years,938.0,0.9,92.55,9.86
363,Women and girls,55-64 years,731.0,0.9,63.24,8.65
363,Women and girls,65 years and older,524.0,0.9,39.88,7.61
363,Women and girls,65-74 years,582.0,0.9,66.67,11.46
363,Women and girls,75 years and older,442.0,0.8,46.22,10.45
368,"Women, 16 and over",All consumer units,632.0,0.8,33.84,5.36
368,"Women, 16 and over",Under 25 years,421.0,0.9,97.62,23.18
368,"Women, 16 and over",25-34 years,622.0,0.8,75.73,12.18
368,"Women, 16 and over",35-44 years,721.0,0.8,50.06,6.95
368,"Women, 16 and over",45-54 years,783.0,0.8,83.87,10.71
368,"Women, 16 and over",55-64 years,681.0,0.8,60.77,8.93
368,"Women, 16 and over",65 years and older,495.0,0.8,39.74,8.03
368,"Women, 16 and over",65-74 years,562.0,0.9,66.99,11.93
368,"Women, 16 and over",75 years and older,400.0,0.7,42.4,10.6
373,"Girls, 2 to 15",All consumer units,112.0,0.1,11.92,10.67
373,"Girls, 2 to 15",Under 25 years,7.0,,6.57,97.43
373,"Girls, 2 to 15",25-34 years,116.0,0.2,25.32,21.87
373,"Girls, 2 to 15",35-44 years,285.0,0.3,32.3,11.33
373,"Girls, 2 to 15",45-54 years,155.0,0.2,37.41,24.13
373,"Girls, 2 to 15",55-64 years,51.0,0.1,15.91,31.41
373,"Girls, 2 to 15",65 years and older,29.0,,7.35,25.1
373,"Girls, 2 to 15",65-74 years,20.0,,6.07,30.34
373,"Girls, 2 to 15",75 years and older,42.0,0.1,14.92,35.15
378,Children under 2,All consumer units,77.0,0.1,7.98,10.33
378,Children under 2,Under 25 years,61.0,0.1,24.14,39.47
378,Children under 2,25-34 years,207.0,0.3,28.29,13.65
378,Children under 2,35-44 years,135.0,0.1,26.38,19.48
378,Children under 2,45-54 years,41.0,,14.52,35.83
378,Children under 2,55-64 years,30.0,,10.22,33.74
378,Children under 2,65 years and older,19.0,,5.71,29.43
378,Children under 2,65-74 years,22.0,,8.92,39.92
378,Children under 2,75 years and older,15.0,,5.01,32.93
383,Footwear,All consumer units,461.0,0.6,26.1,5.66
383,Footwear,Under 25 years,256.0,0.5,88.78,34.64
383,Footwear,25-34 years,534.0,0.7,71.17,13.34
383,Footwear,35-44 years,648.0,0.7,66.5,10.26
383,Footwear,45-54 years,617.0,0.6,93.38,15.14
383,Footwear,55-64 years,483.0,0.6,47.45,9.83
383,Footwear,65 years and older,227.0,0.4,28.11,12.37
383,Footwear,65-74 years,276.0,0.4,44.53,16.16
383,Footwear,75 years and older,159.0,0.3,26.81,16.9
388,Other apparel products and services,All consumer units,252.0,0.3,12.9,5.12
388,Other apparel products and services,Under 25 years,212.0,0.4,43.9,20.74
388,Other apparel products and services,25-34 years,262.0,0.4,24.24,9.25
388,Other apparel products and services,35-44 years,242.0,0.3,18.71,7.72
388,Other apparel products and services,45-54 years,333.0,0.3,46.81,14.07
388,Other apparel products and services,55-64 years,317.0,0.4,34.62,10.93
388,Other apparel products and services,65 years and older,174.0,0.3,16.65,9.59
388,Other apparel products and services,65-74 years,209.0,0.3,27.05,12.96
388,Other apparel products and services,75 years and older,123.0,0.2,24.31,19.72
394,Transportation,All consumer units,13318.0,17.0,265.14,1.99
394,Transportation,Under 25 years,9243.0,19.5,979.23,10.59
394,Transportation,25-34 years,12802.0,17.2,669.39,5.23
394,Transportation,35-44 years,15581.0,17.1,746.32,4.79
394,Transportation,45-54 years,17184.0,17.1,743.25,4.33
394,Transportation,55-64 years,15085.0,17.8,801.17,5.31
394,Transportation,65 years and older,9538.0,15.5,371.8,3.9
394,Transportation,65-74 years,11414.0,17.5,575.01,5.04
394,Transportation,75 years and older,6855.0,12.3,532.34,7.77
399,Vehicle purchases (net outlay),All consumer units,5337.0,6.8,241.04,4.52
399,Vehicle purchases (net outlay),Under 25 years,4312.0,9.1,804.62,18.66
399,Vehicle purchases (net outlay),25-34 years,5266.0,7.1,615.42,11.69
399,Vehicle purchases (net outlay),35-44 years,6560.0,7.2,674.17,10.28
399,Vehicle purchases (net outlay),45-54 years,6448.0,6.4,654.35,10.15
399,Vehicle purchases (net outlay),55-64 years,6344.0,7.5,675.45,10.65
399,Vehicle purchases (net outlay),65 years and older,3510.0,5.7,314.25,8.95
399,Vehicle purchases (net outlay),65-74 years,4539.0,6.9,494.69,10.9
399,Vehicle purchases (net outlay),75 years and older,2039.0,3.7,431.05,21.14
404,"Cars and trucks, new",All consumer units,2469.0,3.1,173.44,7.02
404,"Cars and trucks, new",Under 25 years,1181.0,2.5,300.89,25.48
404,"Cars and trucks, new",25-34 years,2487.0,3.3,511.98,20.59
404,"Cars and trucks, new",35-44 years,2827.0,3.1,508.62,17.99
404,"Cars and trucks, new",45-54 years,2467.0,2.5,388.71,15.76
404,"Cars and trucks, new",55-64 years,3356.0,4.0,583.57,17.39
404,"Cars and trucks, new",65 years and older,1907.0,3.1,213.97,11.22
404,"Cars and trucks, new",65-74 years,2325.0,3.6,308.09,13.25
404,"Cars and trucks, new",75 years and older,1311.0,2.3,325.81,24.85
409,"Cars and trucks, used",All consumer units,2818.0,3.6,172.35,6.12
409,"Cars and trucks, used",Under 25 years,2944.0,6.2,703.75,23.91
409,"Cars and trucks, used",25-34 years,2776.0,3.7,427.05,15.38
409,"Cars and trucks, used",35-44 years,3709.0,4.1,433.54,11.69
409,"Cars and trucks, used",45-54 years,3841.0,3.8,516.35,13.44
409,"Cars and trucks, used",55-64 years,2938.0,3.5,403.4,13.73
409,"Cars and trucks, used",65 years and older,1588.0,2.6,199.96,12.59
409,"Cars and trucks, used",65-74 years,2196.0,3.4,335.75,15.29
409,"Cars and trucks, used",75 years and older,719.0,1.3,221.99,30.87
414,Gasoline and other fuels,All consumer units,2645.0,3.4,34.55,1.31
414,Gasoline and other fuels,Under 25 years,1841.0,3.9,120.8,6.56
414,Gasoline and other fuels,25-34 years,2655.0,3.6,81.1,3.05
414,Gasoline and other fuels,35-44 years,3099.0,3.4,69.48,2.24
414,Gasoline and other fuels,45-54 years,3702.0,3.7,98.01,2.65
414,Gasoline and other fuels,55-64 years,2768.0,3.3,64.18,2.32
414,Gasoline and other fuels,65 years and older,1806.0,2.9,38.97,2.16
414,Gasoline and other fuels,65-74 years,2144.0,3.3,48.68,2.27
414,Gasoline and other fuels,75 years and older,1322.0,2.4,54.23,4.1
419,Gasoline,All consumer units,2411.0,3.1,34.35,1.43
419,Gasoline,Under 25 years,1706.0,3.6,115.36,6.76
419,Gasoline,25-34 years,2444.0,3.3,80.22,3.28
419,Gasoline,35-44 years,2829.0,3.1,65.74,2.32
419,Gasoline,45-54 years,3379.0,3.4,84.13,2.49
419,Gasoline,55-64 years,2522.0,3.0,61.87,2.45
419,Gasoline,65 years and older,1623.0,2.6,31.82,1.96
419,Gasoline,65-74 years,1908.0,2.9,37.84,1.98
419,Gasoline,75 years and older,1216.0,2.2,45.49,3.74
424,Other vehicle expenses,All consumer units,4206.0,5.4,54.5,1.3
424,Other vehicle expenses,Under 25 years,2461.0,5.2,214.32,8.71
424,Other vehicle expenses,25-34 years,3977.0,5.3,122.62,3.08
424,Other vehicle expenses,35-44 years,4704.0,5.2,140.79,2.99
424,Other vehicle expenses,45-54 years,5597.0,5.6,180.22,3.22
424,Other vehicle expenses,55-64 years,4710.0,5.5,162.6,3.45
424,Other vehicle expenses,65 years and older,3198.0,5.2,65.98,2.06
424,Other vehicle expenses,65-74 years,3572.0,5.5,93.43,2.62
424,Other vehicle expenses,75 years and older,2663.0,4.8,128.15,4.81
429,Vehicle finance charges,All consumer units,418.0,0.5,15.1,3.61
429,Vehicle finance charges,Under 25 years,294.0,0.6,46.3,15.72
429,Vehicle finance charges,25-34 years,509.0,0.7,32.8,6.44
429,Vehicle finance charges,35-44 years,562.0,0.6,32.99,5.87
429,Vehicle finance charges,45-54 years,596.0,0.6,36.07,6.05
429,Vehicle finance charges,55-64 years,445.0,0.5,35.58,7.99
429,Vehicle finance charges,65 years and older,179.0,0.3,13.86,7.74
429,Vehicle finance charges,65-74 years,240.0,0.4,21.71,9.06
429,Vehicle finance charges,75 years and older,92.0,0.2,10.61,11.48
434,Maintenance and repairs,All consumer units,984.0,1.3,28.12,2.86
434,Maintenance and repairs,Under 25 years,537.0,1.1,79.33,14.76
434,Maintenance and repairs,25-34 years,855.0,1.1,61.03,7.14
434,Maintenance and repairs,35-44 years,1064.0,1.2,59.97,5.64
434,Maintenance and repairs,45-54 years,1263.0,1.3,75.86,6.01
434,Maintenance and repairs,55-64 years,1154.0,1.4,69.47,6.02
434,Maintenance and repairs,65 years and older,814.0,1.3,38.26,4.7
434,Maintenance and repairs,65-74 years,934.0,1.4,50.28,5.38
434,Maintenance and repairs,75 years and older,643.0,1.2,57.25,8.91
439,"Vehicle rental, leases, licenses, and other charges",All consumer units,811.0,1.0,41.22,5.08
439,"Vehicle rental, leases, licenses, and other charges",Under 25 years,378.0,0.8,64.87,17.15
439,"Vehicle rental, leases, licenses, and other charges",25-34 years,725.0,1.0,69.19,9.54
439,"Vehicle rental, leases, licenses, and other charges",35-44 years,923.0,1.0,71.26,7.72
439,"Vehicle rental, leases, licenses, and other charges",45-54 years,1128.0,1.1,164.12,14.55
439,"Vehicle rental, leases, licenses, and other charges",55-64 years,859.0,1.0,81.92,9.54
439,"Vehicle rental, leases, licenses, and other charges",65 years and older,647.0,1.1,40.6,6.28
439,"Vehicle rental, leases, licenses, and other charges",65-74 years,676.0,1.0,38.19,5.65
439,"Vehicle rental, leases, licenses, and other charges",75 years and older,605.0,1.1,82.21,13.59
444,Vehicle insurance,All consumer units,1993.0,2.5,25.66,1.29
444,Vehicle insurance,Under 25 years,1251.0,2.6,134.26,10.73
444,Vehicle insurance,25-34 years,1888.0,2.5,61.61,3.26
444,Vehicle insurance,35-44 years,2155.0,2.4,51.12,2.37
444,Vehicle insurance,45-54 years,2609.0,2.6,60.53,2.32
444,Vehicle insurance,55-64 years,2252.0,2.7,95.68,4.25
444,Vehicle insurance,65 years and older,1558.0,2.5,29.93,1.92
444,Vehicle insurance,65-74 years,1723.0,2.6,52.15,3.03
444,Vehicle insurance,75 years and older,1323.0,2.4,51.3,3.88
449,Public and other transportation,All consumer units,1131.0,1.4,34.42,3.04
449,Public and other transportation,Under 25 years,628.0,1.3,110.55,17.59
449,Public and other transportation,25-34 years,903.0,1.2,63.96,7.08
449,Public and other transportation,35-44 years,1218.0,1.3,87.94,7.22
449,Public and other transportation,45-54 years,1437.0,1.4,90.28,6.28
449,Public and other transportation,55-64 years,1262.0,1.5,117.72,9.32
449,Public and other transportation,65 years and older,1024.0,1.7,108.28,10.58
449,Public and other transportation,65-74 years,1159.0,1.8,170.02,14.67
449,Public and other transportation,75 years and older,831.0,1.5,89.51,10.77
455,Healthcare,All consumer units,6197.0,7.9,99.44,1.6
455,Healthcare,Under 25 years,1485.0,3.1,180.42,12.15
455,Healthcare,25-34 years,3825.0,5.1,148.06,3.87
455,Healthcare,35-44 years,5949.0,6.5,154.24,2.59
455,Healthcare,45-54 years,6748.0,6.7,251.26,3.72
455,Healthcare,55-64 years,6711.0,7.9,213.92,3.19
455,Healthcare,65 years and older,7799.0,12.7,181.84,2.33
455,Healthcare,65-74 years,7715.0,11.8,209.79,2.72
455,Healthcare,75 years and older,7918.0,14.2,282.38,3.57
460,Health insurance,All consumer units,4055.0,5.2,63.31,1.56
460,Health insurance,Under 25 years,922.0,1.9,148.12,16.07
460,Health insurance,25-34 years,2613.0,3.5,119.4,4.57
460,Health insurance,35-44 years,3911.0,4.3,130.39,3.33
460,Health insurance,45-54 years,4381.0,4.4,185.97,4.24
460,Health insurance,55-64 years,4313.0,5.1,155.53,3.61
460,Health insurance,65 years and older,5107.0,8.3,66.8,1.31
460,Health insurance,65-74 years,5114.0,7.8,81.38,1.59
460,Health insurance,75 years and older,5098.0,9.1,112.11,2.2
465,Medical services,All consumer units,1252.0,1.6,53.79,4.3
465,Medical services,Under 25 years,302.0,0.6,63.9,21.16
465,Medical services,25-34 years,811.0,1.1,69.9,8.61
465,Medical services,35-44 years,1312.0,1.4,92.3,7.04
465,Medical services,45-54 years,1427.0,1.4,118.82,8.32
465,Medical services,55-64 years,1352.0,1.6,93.79,6.94
465,Medical services,65 years and older,1449.0,2.4,112.17,7.74
465,Medical services,65-74 years,1377.0,2.1,113.33,8.23
465,Medical services,75 years and older,1552.0,2.8,223.45,14.39
470,Drugs,All consumer units,658.0,0.8,24.51,3.73
470,Drugs,Under 25 years,169.0,0.4,30.74,18.19
470,Drugs,25-34 years,284.0,0.4,23.6,8.32
470,Drugs,35-44 years,559.0,0.6,46.18,8.26
470,Drugs,45-54 years,698.0,0.7,60.96,8.73
470,Drugs,55-64 years,794.0,0.9,43.02,5.42
470,Drugs,65 years and older,898.0,1.5,41.32,4.6
470,Drugs,65-74 years,855.0,1.3,53.51,6.26
470,Drugs,75 years and older,959.0,1.7,63.58,6.63
475,Medical supplies,All consumer units,233.0,0.3,19.89,8.54
475,Medical supplies,Under 25 years,93.0,0.2,12.67,13.66
475,Medical supplies,25-34 years,117.0,0.2,10.32,8.81
475,Medical supplies,35-44 years,167.0,0.2,15.38,9.24
475,Medical supplies,45-54 years,241.0,0.2,20.18,8.36
475,Medical supplies,55-64 years,252.0,0.3,28.02,11.13
475,Medical supplies,65 years and older,344.0,0.6,62.33,18.1
475,Medical supplies,65-74 years,369.0,0.6,107.33,29.05
475,Medical supplies,75 years and older,309.0,0.6,34.07,11.04
481,Entertainment,All consumer units,3609.0,4.6,116.66,3.23
481,Entertainment,Under 25 years,1835.0,3.9,323.14,17.61
481,Entertainment,25-34 years,3224.0,4.3,275.8,8.55
481,Entertainment,35-44 years,4128.0,4.5,205.61,4.98
481,Entertainment,45-54 years,4803.0,4.8,400.06,8.33
481,Entertainment,55-64 years,3706.0,4.4,227.08,6.13
481,Entertainment,65 years and older,3025.0,4.9,180.26,5.96
481,Entertainment,65-74 years,3122.0,4.8,231.29,7.41
481,Entertainment,75 years and older,2888.0,5.2,283.28,9.81
486,Fees and admissions,All consumer units,935.0,1.2,39.78,4.26
486,Fees and admissions,Under 25 years,408.0,0.9,46.17,11.32
486,Fees and admissions,25-34 years,747.0,1.0,47.96,6.42
486,Fees and admissions,35-44 years,1355.0,1.5,102.62,7.57
486,Fees and admissions,45-54 years,1450.0,1.4,145.58,10.04
486,Fees and admissions,55-64 years,871.0,1.0,83.77,9.62
486,Fees and admissions,65 years and older,602.0,1.0,49.42,8.2
486,Fees and admissions,65-74 years,656.0,1.0,69.32,10.57
486,Fees and admissions,75 years and older,526.0,0.9,96.96,18.43
491,Audio and visual equipment and services,All consumer units,965.0,1.2,34.12,3.53
491,Audio and visual equipment and services,Under 25 years,559.0,1.2,71.19,12.73
491,Audio and visual equipment and services,25-34 years,737.0,1.0,43.61,5.92
491,Audio and visual equipment and services,35-44 years,901.0,1.0,46.02,5.11
491,Audio and visual equipment and services,45-54 years,1045.0,1.0,39.82,3.81
491,Audio and visual equipment and services,55-64 years,1130.0,1.3,142.54,12.62
491,Audio and visual equipment and services,65 years and older,1048.0,1.7,59.76,5.7
491,Audio and visual equipment and services,65-74 years,1079.0,1.7,104.6,9.69
491,Audio and visual equipment and services,75 years and older,1004.0,1.8,43.65,4.35
496,"Pets, toys, hobbies, and playground equipment",All consumer units,1069.0,1.4,75.7,7.08
496,"Pets, toys, hobbies, and playground equipment",Under 25 years,334.0,0.7,53.28,15.95
496,"Pets, toys, hobbies, and playground equipment",25-34 years,1138.0,1.5,209.65,18.43
496,"Pets, toys, hobbies, and playground equipment",35-44 years,1112.0,1.2,80.27,7.22
496,"Pets, toys, hobbies, and playground equipment",45-54 years,1506.0,1.5,345.08,22.92
496,"Pets, toys, hobbies, and playground equipment",55-64 years,1096.0,1.3,105.16,9.6
496,"Pets, toys, hobbies, and playground equipment",65 years and older,849.0,1.4,65.42,7.7
496,"Pets, toys, hobbies, and playground equipment",65-74 years,900.0,1.4,92.26,10.25
496,"Pets, toys, hobbies, and playground equipment",75 years and older,777.0,1.4,112.27,14.45
501,Pets,All consumer units,880.0,1.1,72.89,8.28
501,Pets,Under 25 years,200.0,0.4,33.3,16.64
501,Pets,25-34 years,831.0,1.1,196.4,23.63
501,Pets,35-44 years,866.0,0.9,64.05,7.39
501,Pets,45-54 years,1266.0,1.3,342.21,27.03
501,Pets,55-64 years,959.0,1.1,104.59,10.91
501,Pets,65 years and older,752.0,1.2,63.71,8.47
501,Pets,65-74 years,779.0,1.2,91.67,11.77
501,Pets,75 years and older,714.0,1.3,113.66,15.92
506,"Toys, hobbies, and playground equipment",All consumer units,189.0,0.2,14.51,7.69
506,"Toys, hobbies, and playground equipment",Under 25 years,134.0,0.3,44.72,33.39
506,"Toys, hobbies, and playground equipment",25-34 years,307.0,0.4,59.33,19.36
506,"Toys, hobbies, and playground equipment",35-44 years,245.0,0.3,33.55,13.67
506,"Toys, hobbies, and playground equipment",45-54 years,239.0,0.2,27.01,11.28
506,"Toys, hobbies, and playground equipment",55-64 years,137.0,0.2,19.0,13.9
506,"Toys, hobbies, and playground equipment",65 years and older,97.0,0.2,13.18,13.57
506,"Toys, hobbies, and playground equipment",65-74 years,121.0,0.2,18.49,15.27
506,"Toys, hobbies, and playground equipment",75 years and older,63.0,0.1,13.93,22.14
511,"Other entertainment supplies, equipment, and services",All consumer units,640.0,0.8,56.55,8.83
511,"Other entertainment supplies, equipment, and services",Under 25 years,534.0,1.1,271.33,50.79
511,"Other entertainment supplies, equipment, and services",25-34 years,602.0,0.8,137.15,22.77
511,"Other entertainment supplies, equipment, and services",35-44 years,760.0,0.8,136.24,17.93
511,"Other entertainment supplies, equipment, and services",45-54 years,802.0,0.8,113.77,14.18
511,"Other entertainment supplies, equipment, and services",55-64 years,609.0,0.7,87.59,14.37
511,"Other entertainment supplies, equipment, and services",65 years and older,525.0,0.9,122.88,23.39
511,"Other entertainment supplies, equipment, and services",65-74 years,487.0,0.7,162.7,33.43
511,"Other entertainment supplies, equipment, and services",75 years and older,581.0,1.0,210.6,36.25
517,Personal care products and services,All consumer units,978.0,1.2,27.68,2.83
517,Personal care products and services,Under 25 years,647.0,1.4,74.96,11.58
517,Personal care products and services,25-34 years,863.0,1.2,59.53,6.9
517,Personal care products and services,35-44 years,1202.0,1.3,72.2,6.01
517,Personal care products and services,45-54 years,1226.0,1.2,53.14,4.33
517,Personal care products and services,55-64 years,1023.0,1.2,32.67,3.19
517,Personal care products and services,65 years and older,782.0,1.3,31.06,3.97
517,Personal care products and services,65-74 years,817.0,1.2,34.94,4.28
517,Personal care products and services,75 years and older,734.0,1.3,41.33,5.63
523,Reading,All consumer units,125.0,0.2,9.7,7.74
523,Reading,Under 25 years,92.0,0.2,42.26,46.13
523,Reading,25-34 years,93.0,0.1,9.7,10.45
523,Reading,35-44 years,141.0,0.2,17.6,12.45
523,Reading,45-54 years,183.0,0.2,50.83,27.84
523,Reading,55-64 years,103.0,0.1,16.01,15.49
523,Reading,65 years and older,120.0,0.2,10.28,8.55
523,Reading,65-74 years,117.0,0.2,13.61,11.59
523,Reading,75 years and older,124.0,0.2,21.58,17.4
529,Education,All consumer units,1569.0,2.0,98.8,6.3
529,Education,Under 25 years,2652.0,5.6,749.29,28.25
529,Education,25-34 years,1418.0,1.9,246.38,17.38
529,Education,35-44 years,1445.0,1.6,154.87,10.72
529,Education,45-54 years,3181.0,3.2,272.46,8.57
529,Education,55-64 years,1856.0,2.2,251.61,13.56
529,Education,65 years and older,429.0,0.7,76.62,17.86
529,Education,65-74 years,482.0,0.7,103.62,21.52
529,Education,75 years and older,354.0,0.6,110.52,31.22
535,Tobacco products and smoking supplies,All consumer units,352.0,0.4,15.74,4.47
535,Tobacco products and smoking supplies,Under 25 years,189.0,0.4,43.41,22.93
535,Tobacco products and smoking supplies,25-34 years,299.0,0.4,29.49,9.87
535,Tobacco products and smoking supplies,35-44 years,398.0,0.4,30.44,7.64
535,Tobacco products and smoking supplies,45-54 years,461.0,0.5,37.48,8.13
535,Tobacco products and smoking supplies,55-64 years,435.0,0.5,26.55,6.11
535,Tobacco products and smoking supplies,65 years and older,266.0,0.4,17.02,6.41
535,Tobacco products and smoking supplies,65-74 years,320.0,0.5,27.75,8.67
535,Tobacco products and smoking supplies,75 years and older,188.0,0.3,28.95,15.44
541,Miscellaneous,All consumer units,1218.0,1.6,77.63,6.37
541,Miscellaneous,Under 25 years,376.0,0.8,65.32,17.39
541,Miscellaneous,25-34 years,1417.0,1.9,336.45,23.75
541,Miscellaneous,35-44 years,1119.0,1.2,84.97,7.59
541,Miscellaneous,45-54 years,1374.0,1.4,157.91,11.5
541,Miscellaneous,55-64 years,1633.0,1.9,140.95,8.63
541,Miscellaneous,65 years and older,972.0,1.6,62.01,6.38
541,Miscellaneous,65-74 years,1067.0,1.6,94.01,8.81
541,Miscellaneous,75 years and older,837.0,1.5,72.01,8.6
547,Cash contributions,All consumer units,2292.0,2.9,203.77,8.89
547,Cash contributions,Under 25 years,345.0,0.7,90.95,26.36
547,Cash contributions,25-34 years,1004.0,1.3,127.2,12.67
547,Cash contributions,35-44 years,1595.0,1.7,183.02,11.47
547,Cash contributions,45-54 years,3315.0,3.3,1057.39,31.9
547,Cash contributions,55-64 years,2300.0,2.7,171.86,7.47
547,Cash contributions,65 years and older,3158.0,5.1,230.11,7.29
547,Cash contributions,65-74 years,2921.0,4.5,260.24,8.91
547,Cash contributions,75 years and older,3497.0,6.3,384.46,10.99
553,Personal insurance and pensions,All consumer units,9797.0,12.5,168.35,1.72
553,Personal insurance and pensions,Under 25 years,4428.0,9.4,343.11,7.75
553,Personal insurance and pensions,25-34 years,10701.0,14.4,264.69,2.47
553,Personal insurance and pensions,35-44 years,13465.0,14.8,468.62,3.48
553,Personal insurance and pensions,45-54 years,14948.0,14.9,574.23,3.84
553,Personal insurance and pensions,55-64 years,12172.0,14.3,445.99,3.66
553,Personal insurance and pensions,65 years and older,3480.0,5.7,144.65,4.16
553,Personal insurance and pensions,65-74 years,4579.0,7.0,206.6,4.51
553,Personal insurance and pensions,75 years and older,1908.0,3.4,166.66,8.74
558,Life and other personal insurance,All consumer units,575.0,0.7,28.26,4.91
558,Life and other personal insurance,Under 25 years,54.0,0.1,13.65,25.42
558,Life and other personal insurance,25-34 years,254.0,0.3,35.75,14.05
558,Life and other personal insurance,35-44 years,596.0,0.7,80.86,13.57
558,Life and other personal insurance,45-54 years,771.0,0.8,55.05,7.14
